time, lon1, lat1, depth1, lon2, lat2, depth2, file, number, shot1, shot2
       19.699534,      -88.65730,       29.73135,      -16.76087,      -88.65354,       29.72840,       -9.22826,K:\raw data\GM11\10-05\FL11278194153.png,   13,  134,  336
       19.701071,      -88.65417,       29.72889,      -17.83696,      -88.63943,       29.71759,       -9.10870,K:\raw data\GM11\10-05\FL11278194153.png,   13,  300,  976
       19.709033,      -88.63557,       29.71462,      -17.00000,      -88.63365,       29.71313,      -20.58696,K:\raw data\GM11\10-05\FL11278194153.png,   13, 1160, 1250
       19.842949,      -88.34328,       29.46253,       -9.22826,      -88.33604,       29.45635,      -10.42391,K:\raw data\GM11\10-05\FL11278194940.png,   20, 1624, 1992
       19.846504,      -88.33604,       29.45635,      -10.78261,      -88.31922,       29.44197,      -12.09783,K:\raw data\GM11\10-05\FL11278195047.png,   21,    8,  870
       19.858318,      -88.31020,       29.43426,       -9.58696,      -88.30115,       29.42650,      -10.18478,K:\raw data\GM11\10-05\FL11278195047.png,   21, 1284, 1744
       19.876224,      -88.27111,       29.40048,      -13.65217,      -88.25615,       29.38745,      -16.64130,K:\raw data\GM11\10-05\FL11278195153.png,   22, 1218, 1982
       20.425729,      -88.24920,       29.22552,      -10.90217,      -88.25826,       29.25789,      -19.63043,K:\raw data\GM11\10-05\FL11278202513.png,   52,  569, 1808
       20.463754,      -88.30221,       29.21818,      -16.04348,      -88.30185,       29.18349,      -17.11957,K:\raw data\GM11\10-05\FL11278202727.png,   54,  676, 1970
       20.458791,      -88.30079,       29.23242,      -13.41304,      -88.30198,       29.22291,      -10.30435,K:\raw data\GM11\10-05\FL11278202727.png,   54,  140,  482
       20.498890,      -88.30079,       29.11875,       -8.27174,      -88.30149,       29.09503,       -4.92391,K:\raw data\GM11\10-05\FL11278202940.png,   56,  471, 1350
       20.625205,      -88.34746,       29.08261,       -5.16304,      -88.34929,       29.10199,      -16.04348,K:\raw data\GM11\10-05\FL11278203727.png,   63,  114,  844
       20.630408,      -88.34885,       29.09717,       -5.04348,      -88.35064,       29.11798,       -6.95652,K:\raw data\GM11\10-05\FL11278203727.png,   63,  676, 1450
       20.930534,      -88.45369,       29.26040,      -22.26087,      -88.47713,       29.27092,      -18.31522,K:\raw data\GM11\10-05\FL11278205513.png,   79, 1092, 1928
       21.425867,      -88.64941,       29.24575,      -24.89130,      -88.64975,       29.25056,      -11.73913,K:\raw data\GM11\10-05\FL11278212513.png,  106,  592,  790
       21.446421,      -88.69613,       29.24782,      -12.45652,      -88.69769,       29.24062,      -11.97826,K:\raw data\GM11\10-05\FL11278212620.png,  107,  812, 1106
       21.451069,      -88.69899,       29.23420,       -8.86957,      -88.70159,       29.22213,      -10.42391,K:\raw data\GM11\10-05\FL11278212620.png,  107, 1314, 1780
       21.455383,      -88.70159,       29.22213,      -21.66304,      -88.70205,       29.21652,      -16.28261,K:\raw data\GM11\10-05\FL11278212620.png,  107, 1780, 1978
       21.458503,      -88.70239,       29.21332,       -4.32609,      -88.70304,       29.20455,       -6.11957,K:\raw data\GM11\10-05\FL11278212726.png,  108,  117,  460
       21.465660,      -88.70324,       29.19261,      -15.32609,      -88.70316,       29.18228,       -8.75000,K:\raw data\GM11\10-05\FL11278212726.png,  108,  890, 1286
       21.655646,      -88.75192,       29.19347,       -8.27174,      -88.75168,       29.20466,      -10.78261,K:\raw data\GM11\10-05\FL11278213833.png,  118, 1410, 1820
