time, lon1, lat1, depth1, lon2, lat2, depth2, file, number, shot1, shot2
       19.580039,      -88.92405,       29.60967,       -8.15217,      -88.90963,       29.59089,       -7.19565,K:\raw data\GM11\09-29\FL11272193437.png,   12,  314, 1214
       19.593093,      -88.90090,       29.57918,       -7.91304,      -88.89664,       29.57326,       -8.86957,K:\raw data\GM11\09-29\FL11272193437.png,   12, 1724, 1996
       19.595667,      -88.89664,       29.57326,       -8.75000,      -88.88166,       29.55206,       -9.70652,K:\raw data\GM11\09-29\FL11272193544.png,   13,    2,  953
       19.669958,      -88.85006,       29.37360,      -12.33696,      -88.84981,       29.33382,      -11.73913,K:\raw data\GM11\09-29\FL11272194010.png,   17,   26, 1498
       19.865925,      -88.56313,       29.38788,      -13.53261,      -88.57119,       29.40678,      -14.13043,K:\raw data\GM11\09-29\FL11272195112.png,   27, 1192, 1960
       19.951242,      -88.65012,       29.61230,      -17.00000,      -88.64960,       29.62813,      -15.08696,K:\raw data\GM11\09-29\FL11272195645.png,   32,  407, 1032
       19.958140,      -88.64946,       29.63114,      -15.80435,      -88.64918,       29.63866,      -15.68478,K:\raw data\GM11\09-29\FL11272195645.png,   32, 1152, 1452
       19.961769,      -88.64913,       29.64092,      -17.23913,      -88.64905,       29.65223,      -16.52174,K:\raw data\GM11\09-29\FL11272195645.png,   32, 1544, 1988
       20.155884,      -88.62943,       29.64612,      -14.72826,      -88.62971,       29.63801,      -16.40217,K:\raw data\GM11\09-29\FL11272200859.png,   43,  510,  800
       20.160106,      -88.62984,       29.63396,      -15.92391,      -88.62987,       29.62992,      -16.16304,K:\raw data\GM11\09-29\FL11272200859.png,   43,  966, 1120
       20.162606,      -88.62985,       29.62670,      -15.56522,      -88.62945,       29.61381,      -17.23913,K:\raw data\GM11\09-29\FL11272200859.png,   43, 1236, 1720
       20.401681,      -88.57636,       29.74399,      -19.27174,      -88.57650,       29.71883,      -18.79348,K:\raw data\GM11\09-29\FL11272202325.png,   56, 1058, 1978
       20.410995,      -88.57653,       29.71556,      -17.95652,      -88.57655,       29.70418,      -17.71739,K:\raw data\GM11\09-29\FL11272202432.png,   57,   64,  520
       20.540671,      -88.54852,       29.76552,      -22.97826,      -88.54778,       29.79821,      -21.90217,K:\raw data\GM11\09-29\FL11272203218.png,   64,   70, 1362
       20.637626,      -88.52372,       29.84020,      -22.38043,      -88.52528,       29.81832,      -22.85870,K:\raw data\GM11\09-29\FL11272203752.png,   69,  542, 1370
       20.647533,      -88.52582,       29.81103,      -21.54348,      -88.52627,       29.80127,      -21.06522,K:\raw data\GM11\09-29\FL11272203752.png,   69, 1612, 1994
       20.651421,      -88.52633,       29.79964,      -19.27174,      -88.52575,       29.74676,      -22.73913,K:\raw data\GM11\09-29\FL11272203858.png,   70,   32, 1990
       20.668087,      -88.52591,       29.75081,      -17.95652,      -88.52575,       29.74676,      -17.11957,K:\raw data\GM11\09-29\FL11272203858.png,   70, 1832, 1990
       20.788708,      -88.49900,       29.69731,      -14.72826,      -88.50029,       29.71492,      -17.95652,K:\raw data\GM11\09-29\FL11272204645.png,   77,  860, 1554
       20.795614,      -88.50035,       29.71568,      -13.29348,      -88.50100,       29.72644,      -12.93478,K:\raw data\GM11\09-29\FL11272204645.png,   77, 1606, 1976
       20.812354,      -88.50108,       29.76256,      -16.16304,      -88.50093,       29.77328,      -16.28261,K:\raw data\GM11\09-29\FL11272204752.png,   78, 1414, 1822
       20.818520,      -88.50088,       29.77939,      -14.13043,      -88.50080,       29.78626,      -15.80435,K:\raw data\GM11\09-29\FL11272204858.png,   79,   80,  330
       20.826547,      -88.50089,       29.80223,      -21.54348,      -88.50091,       29.81058,      -21.90217,K:\raw data\GM11\09-29\FL11272204858.png,   79,  947, 1284
       20.939011,      -88.47427,       29.76984,      -15.44565,      -88.47387,       29.74546,      -14.60870,K:\raw data\GM11\09-29\FL11272205538.png,   85, 1094, 1990
       20.947492,      -88.47387,       29.74464,      -14.13043,      -88.47392,       29.72425,      -12.69565,K:\raw data\GM11\09-29\FL11272205645.png,   86,   10,  786
       21.410420,      -88.39371,       29.92288,      -23.21739,      -88.37847,       29.91634,      -22.14130,K:\raw data\GM11\09-29\FL11272212432.png,  111,   10,  630
       21.422401,      -88.37239,       29.89876,      -22.85870,      -88.37395,       29.88047,      -19.51087,K:\raw data\GM11\09-29\FL11272212432.png,  111, 1304, 1994
       21.429067,      -88.37402,       29.87968,      -20.70652,      -88.37551,       29.86214,      -19.51087,K:\raw data\GM11\09-29\FL11272212538.png,  112,   24,  686
       21.489525,      -88.37228,       29.70544,      -29.67391,      -88.37424,       29.68188,      -30.98913,K:\raw data\GM11\09-29\FL11272212858.png,  115,  554, 1399
       21.584944,      -88.34834,       29.66737,      -29.19565,      -88.34807,       29.67881,      -29.43478,K:\raw data\GM11\09-29\FL11272213432.png,  120,  860, 1324
       21.658179,      -88.34991,       29.86875,      -21.18478,      -88.35603,       29.88879,      -21.42391,K:\raw data\GM11\09-29\FL11272213858.png,  124,  770, 1606
       21.915975,      -88.30026,       29.86266,      -31.46739,      -88.30011,       29.88582,      -30.63043,K:\raw data\GM11\09-29\FL11272215432.png,  138,  614, 1496
       21.955768,      -88.35632,       29.94685,      -23.69565,      -88.37204,       29.95527,      -23.93478,K:\raw data\GM11\09-29\FL11272215645.png,  140,  912, 1514
       21.963323,      -88.37723,       29.95816,      -21.18478,      -88.38315,       29.96148,      -23.33696,K:\raw data\GM11\09-29\FL11272215645.png,  140, 1728, 1982
       21.965915,      -88.38388,       29.96190,      -22.85870,      -88.39780,       29.96992,      -25.01087,K:\raw data\GM11\09-29\FL11272215752.png,  141,    8,  588
       1.3331978,      -88.68262,       29.25365,      -20.70652,      -88.65811,       29.25289,      -20.94565,K:\raw data\GM11\09-29\FL11273011937.png,  170,  664, 1480
       1.3709542,      -88.55925,       29.24893,      -11.14130,      -88.53848,       29.24921,      -10.90217,K:\raw data\GM11\09-29\FL11273012150.png,  172,  742, 1430
       1.4426342,      -88.57439,       29.41904,      -11.38043,      -88.57923,       29.42991,      -13.17391,K:\raw data\GM11\09-29\FL11273012617.png,  176,  484,  926
       1.4990742,      -88.64012,       29.56574,      -13.89130,      -88.64203,       29.57008,      -13.89130,K:\raw data\GM11\09-29\FL11273012937.png,  179,  580,  742
       1.5095178,      -88.65035,       29.59359,      -14.60870,      -88.64987,       29.59898,      -14.72826,K:\raw data\GM11\09-29\FL11273012937.png,  179, 1708, 1934
       1.5164803,      -88.64800,       29.61273,      -15.44565,      -88.64702,       29.62268,      -15.56522,K:\raw data\GM11\09-29\FL11273013044.png,  180,  460,  860
       1.5225169,      -88.64648,       29.62960,      -17.71739,      -88.64639,       29.63654,      -17.23913,K:\raw data\GM11\09-29\FL11273013044.png,  180, 1112, 1387
       1.5286647,      -88.64720,       29.64658,      -16.16304,      -88.64777,       29.65199,      -16.40217,K:\raw data\GM11\09-29\FL11273013044.png,  180, 1776, 1988
       1.5864750,      -88.64869,       29.80834,      -15.44565,      -88.64863,       29.85740,      -19.15217,K:\raw data\GM11\09-29\FL11273013510.png,  184,   20, 1909
       1.7371861,      -88.62671,       29.66116,      -16.88043,      -88.62666,       29.64877,      -17.23913,K:\raw data\GM11\09-29\FL11273014404.png,  192,  298,  718
       1.7424633,      -88.62666,       29.64464,      -16.64130,      -88.62665,       29.63556,      -16.88043,K:\raw data\GM11\09-29\FL11273014404.png,  192,  868, 1214
       1.7509442,      -88.63107,       29.62062,      -16.28261,      -88.63553,       29.61637,      -16.88043,K:\raw data\GM11\09-29\FL11273014404.png,  192, 1784, 1992
       1.9384486,      -88.55146,       29.81999,      -22.50000,      -88.55213,       29.78959,      -22.85870,K:\raw data\GM11\09-29\FL11273015617.png,  203,   36, 1143
       2.0169428,      -88.53477,       29.59509,      -22.97826,      -88.52467,       29.59412,      -20.34783,K:\raw data\GM11\09-29\FL11273020044.png,  207,  514,  834
       2.0576433,      -88.49877,       29.68942,      -15.80435,      -88.49824,       29.70897,      -16.64130,K:\raw data\GM11\09-29\FL11273020257.png,  209,  910, 1653
       2.1941794,      -88.45172,       29.76744,      -24.29348,      -88.45171,       29.76331,      -24.17391,K:\raw data\GM11\09-29\FL11273021044.png,  216, 1657, 1812
       2.1983550,      -88.45169,       29.75506,      -24.17391,      -88.45228,       29.71383,      -18.67391,K:\raw data\GM11\09-29\FL11273021150.png,  217,  108, 1594
