time, lon1, lat1, depth1, lon2, lat2, depth2, file, number, shot1, shot2
       19.603990,      -89.02748,       29.76529,       -4.56522,      -89.02364,       29.75992,       -2.65217,K:\raw data\GM11\09-25\FL11268193516.png,    9, 1758, 1994
       19.606267,      -89.02364,       29.75992,       -2.77174,      -89.01935,       29.75389,       -0.50000,K:\raw data\GM11\09-25\FL11268193622.png,   10,    4,  262
       19.608749,      -89.01935,       29.75389,       -3.84783,      -89.00920,       29.73969,       -2.17391,K:\raw data\GM11\09-25\FL11268193622.png,   10,  272,  898
       19.690733,      -88.87742,       29.55367,       -6.71739,      -88.86758,       29.53708,       -7.67391,K:\raw data\GM11\09-25\FL11268194049.png,   14, 1127, 1826
       19.717370,      -88.85577,       29.48294,       -8.27174,      -88.85026,       29.44709,       -6.95652,K:\raw data\GM11\09-25\FL11268194302.png,   16,    4, 1440
       19.729758,      -88.85045,       29.44940,      -14.13043,      -88.84976,       29.43257,      -15.08696,K:\raw data\GM11\09-25\FL11268194302.png,   16, 1342, 1984
       19.736202,      -88.84976,       29.43181,      -13.65217,      -88.85224,       29.38212,       -6.95652,K:\raw data\GM11\09-25\FL11268194409.png,   17,   38, 1990
       19.754404,      -88.85228,       29.38136,       -7.79348,      -88.85254,       29.33706,       -7.79348,K:\raw data\GM11\09-25\FL11268194516.png,   18,    4, 1748
       19.772940,      -88.85236,       29.33017,      -15.32609,      -88.85182,       29.31033,      -13.77174,K:\raw data\GM11\09-25\FL11268194622.png,   19,    6,  804
       19.772959,      -88.85236,       29.33017,       -3.01087,      -88.85166,       29.29281,       -1.93478,K:\raw data\GM11\09-25\FL11268194622.png,   19,    8, 1514
       20.978164,      -90.00053,       28.74147,       -9.46739,      -90.00047,       28.70827,       -6.35870,K:\raw data\GM11\09-25\FL11268205835.png,   84,  180, 1478
       20.991330,      -90.00047,       28.70516,      -18.43478,      -90.00048,       28.69896,      -16.04348,K:\raw data\GM11\09-25\FL11268205835.png,   84, 1602, 1832
